id,name_levenshtein_simple,name_trigram_simple,name_levenshtein_term,name_trigram_term,city_levenshtein_simple,city_trigram_simple,city_levenshtein_term,city_trigram_term,zip_levenshtein_simple,zip_trigram_simple,zip_levenshtein_term,zip_trigram_term,street_levenshtein_simple,street_trigram_simple,street_levenshtein_term,street_trigram_term,website_levenshtein_simple,website_trigram_simple,website_levenshtein_term,website_trigram_term,phone_levenshtein,phone_trigram,fax_levenshtein,fax_trigram,street_number_levenshtein,street_number_trigram,phone_equality,fax_equality,street_number_equality,is_match
1388#1377,1,1,0.846154,1,0.666667,0.666667,0.454545,0.5,1,1,1,1,0.75,0.75,0.952381,0.833333,?,?,?,?,?,?,?,?,0.666666666667,0.333333343267,m,m,n,+1
2604#2606,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,?,?,s,m,m,+1
2083#2086,0.133333,0.0666667,0,0.037037,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.363636363636,0.142857149243,?,?,1.0,1.0,n,m,s,+1
1690#1692,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,?,?,s,m,n,+1
185#187,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
2710#2715,0.4375,0.272727,0.315789,0.352941,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,+1
1229#1239,0.121769,0,0.148148,0,0.666667,0.666667,0.454545,0.5,1,1,1,1,1,1,1,1,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
3532#3536,0.166667,0,0.166667,0,1,1,1,1,0.8,0.333333,0.8,0.333333,0.3875,0.25,0.428571,0.121212,?,?,?,?,?,?,?,?,0.4,0.25,m,m,n,-1
8983#9003,1,1,1,1,0.666667,0.666667,0.5,0.545455,1,1,1,1,1,1,1,1,0.727273,0.727273,0.625,0.787879,1.0,1.0,?,?,1.0,1.0,s,m,s,+1
8541#8542,0.7,0.566667,0.176471,0.409091,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,0.545454545455,0.263157904148,?,?,0.285714285714,0.20000000298,n,m,n,-1
3687#3706,0.19881,0,0.1,0,1,1,1,1,1,1,1,1,0.121693,0,0.105263,0,?,?,?,?,?,?,?,?,0.5,0.285714298487,m,m,n,-1
2343#2347,0.685714,0.607143,0.590909,0.555556,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
9937#9938,0.172727,0.0529412,0.166667,0.0625,1,1,1,1,1,1,1,1,0.0612245,0,0.185185,0,?,?,?,?,0.5,0.3125,0.5,0.29411765933,?,?,n,n,n,-1
2894#2900,0.666667,0.666667,0.541667,0.636364,1,1,1,1,1,1,1,1,0.58,0.441667,0.56,0.342105,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
224843#522528,0.154286,0,0.136364,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,-1
1725#1730,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,1,1,1,1,1.0,1.0,?,?,1.0,1.0,s,m,s,+1
3562#3640,0.111111,0.0307692,0.166667,0.04,1,1,1,1,0.8,0.333333,0.8,0.333333,0.217687,0.0285714,0.26087,0.0263158,?,?,?,?,?,?,?,?,0.4,0.222222223878,m,m,n,-1
86#88,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,+1
7308#7318,0.75,0.75,0.586207,0.62069,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,?,?,s,m,n,+1
6232#6233,1,1,1,1,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,0.5,0.285714298487,s,m,n,+1
3476#3480,0.3125,0.125,0.2,0.0526316,1,1,1,1,1,1,1,1,0.455,0.25,0.380952,0.108108,?,?,?,?,?,?,?,?,0.5,0.285714298487,m,m,n,-1
2378#2379,0.666667,0.666667,0.736842,0.636364,0.666667,0.666667,0.5,0.545455,1,1,1,1,1,1,1,1,?,?,?,?,0.545454545455,0.263157904148,?,?,1.0,1.0,n,m,s,+1
5564#5566,0.7,0.625,0.625,0.594595,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
3485#3497,0.106061,0,0.1,0,1,1,1,1,0.8,0.333333,0.8,0.333333,0.218254,0.05,0.214286,0.0697674,?,?,?,?,?,?,?,?,0.5,0.285714298487,m,m,n,-1
1149#1159,0.8,0.8,0.727273,0.809524,0.611111,0.222222,0.454545,0.5,?,?,?,?,1,1,1,1,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
9057#9060,0.6625,0.6,0.222222,0.357143,1,1,1,1,1,1,1,1,0.740741,0.694444,0.695652,0.576923,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
664#665,0.95,0.84375,0.944444,0.842105,1,1,1,1,1,1,1,1,0.707071,0.583516,0.717949,0.604651,?,?,?,?,1.0,1.0,?,?,0.6,0.333333343267,s,m,n,+1
5654#5661,0.8,0.8,0.657143,0.676471,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
8786#8783,0.8,0.8,0.407407,0.740741,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,+1
1898#1904,0.75,0.75,0.59375,0.625,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
2752#2753,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
3767#3769,0.37037,0.333333,0.388889,0.230769,1,1,1,1,1,1,1,1,0.571429,0.571429,0.75,0.631579,?,?,?,?,?,?,?,?,0.666666666667,0.333333343267,m,m,n,-1
15222#15223,0.1,0,0.0769231,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,-1
1417#1425,1,1,1,1,0.666667,0.666667,0.625,0.666667,1,1,1,1,1,1,1,1,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
2514#2523,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,?,?,s,m,n,+1
1863#1870,0.8,0.8,0.666667,0.684211,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
2202#2211,0.48,0.4,0.210526,0.347826,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
8175#8192,0.177778,0,0.157895,0,1,1,1,1,1,1,1,1,0.278846,0.26087,0.166667,0.128205,?,?,?,?,?,?,?,?,0.5,0.25,m,m,n,-1
6750#6751,0.5,0.5,0.388889,0.421053,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,+1
2747#2750,0.666667,0.666667,0.466667,0.483871,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
9002#9008,0.466667,0.4,0.157895,0.304348,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
13082#13083,0.484722,0.350962,0.272727,0.151515,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.4,0.222222223878,?,?,0.5,0.0,n,m,n,-1
2788#2797,0.888889,0.888889,0.909091,0.911765,0.485714,0.133333,0.466667,0.103448,1,1,1,1,0.923077,0.923077,0.914286,0.911765,?,?,?,?,?,?,?,?,?,?,m,m,n,+1
3690#3702,0.209325,0,0.12,0,1,1,1,1,1,1,1,1,0.207407,0.0330688,0.2,0.0263158,?,?,?,?,?,?,?,?,?,?,m,m,n,-1
16039#16040,0.182828,0.037037,0.148148,0.025,1,1,1,1,1,1,1,1,1,1,1,1,?,?,?,?,0.2,0.047619048506,?,?,1.0,1.0,n,m,s,-1
6101#6102,1,1,1,1,0.571429,0.363636,0.571429,0.363636,1,1,1,1,0.75,0.75,0.517241,0.571429,?,?,?,?,1.0,1.0,?,?,?,?,s,m,n,+1
2360#2376,0.180556,0,0.133333,0,1,1,1,1,1,1,1,1,1,1,1,1,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
1263#1271,0.6,0.5,0.307692,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,+1
13633#13634,0.664626,0.545238,0.565217,0.403226,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.75,0.285714298487,m,m,n,-1
12745#12746,0.4,0.4,0.133333,0.315789,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.666666666667,0.333333343267,m,m,n,-1
15301#15278,0.4,0.12326,0.304348,0.09375,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,-1
2046#2048,0.75,0.75,0.5,0.580645,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,+1
1272#1284,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
1661#1662,0.666667,0.666667,0.375,0.444444,0.666667,0.666667,0.5,0.545455,1,1,1,1,1,1,1,1,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,+1
11731#11732,0.0883838,0,0.0416667,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.3,0.157894730568,?,?,m,n,n,-1
1399#1396,0.237245,0,0.214286,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,?,?,s,m,n,+1
2844#2843,0.666667,0.666667,0.466667,1,1,1,1,1,?,?,?,?,0.533333,0.5,0.588235,0.526316,?,?,?,?,?,?,?,?,?,?,m,m,n,+1
1125#1132,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
1877#1883,0.730159,0.666667,0.714286,0.560976,1,1,1,1,?,?,?,?,1,1,1,1,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
452960#457698,0.138333,0,0.15,0,0.0740741,0,0.111111,0,0.2,0,0.2,0,0.255556,0.0407143,0.128205,0.0408163,?,?,?,?,?,?,?,?,?,?,m,m,n,-1
10208#10209,0.255952,0.0833333,0.230769,0.027027,1,1,1,1,1,1,1,1,0.71978,0.628205,0.583333,0.428571,?,?,?,?,0.6,0.375,?,?,?,?,n,m,n,-1
2908#2914,0.666667,0.666667,0.351351,0.538462,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.181818181818,0.0909090936184,?,?,1.0,1.0,n,m,s,+1
10815#10816,0.141667,0,0.166667,0,0.214286,0.0454545,0.214286,0.0454545,0,0,0,0,0.461538,0.2,0.578947,0.233333,?,?,?,?,?,?,?,?,?,?,m,m,n,-1
6209#6213,0.666667,0.666667,0.8,0.615385,1,1,1,1,0.4,0.2,0.4,0.2,0.666667,0.666667,0.548387,0.580645,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,+1
355#357,0.857143,0.857143,0.652174,0.666667,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
464357#464556,0.542857,0.4,0.545455,0.354839,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,-1
8254#8268,0.279101,0,0.190476,0,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,-1
1897#1898,0.666667,0.666667,0.421053,0.526316,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
8943#8945,0.625,0.5,0.363636,0.428571,1,1,1,1,1,1,1,1,1,1,1,1,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,+1
5580#5582,0.909091,0.909091,0.846154,0.833333,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
13023#13024,0.159864,0.0408163,0.148148,0.0434783,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.7,0.375,0.6,0.375,?,?,n,n,n,-1
12406#12407,0.148148,0,0.153846,0,1,1,1,1,1,1,1,1,0.833333,0.775,0.777778,0.590909,?,?,?,?,?,?,?,?,?,?,m,m,n,-1
221#222,0.666667,0.666667,0.352941,0.388889,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.909090909091,0.714285731316,?,?,1.0,1.0,n,m,s,+1
1915#1907,1,1,1,1,0.611111,0.222222,0.454545,0.5,?,?,?,?,0.75,0.75,0.736842,0.695652,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
8986#9007,0.666667,0.666667,0.421053,0.538462,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
8851#8856,0.727273,0.727273,0.62069,0.628571,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
4330#4341,0.8,0.8,0.727273,0.727273,0.571429,0.363636,0.571429,0.363636,1,1,1,1,1,1,1,1,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
10588#10589,0,0,0.0555556,0,0.116667,0,0.111111,0,0,0,0,0,0.235833,0.0181818,0.181818,0.0208333,?,?,?,?,0.5,0.10000000149,?,?,?,?,n,m,n,-1
8986#9001,0.857143,0.857143,0.76,0.769231,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
7319#7310,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,?,?,s,m,n,+1
1225#1238,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,?,?,s,m,n,+1
1849#1858,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,1.0,1.0,1.0,1.0,s,s,s,+1
1073#1079,0.8,0.8,0.576923,0.576923,1,1,1,1,?,?,?,?,0.857143,0.857143,0.8,0.8125,1,1,1,1,1.0,1.0,?,?,1.0,1.0,s,m,s,+1
912#919,1,1,0.25,1,1,1,1,1,1,1,1,1,1,1,1,1,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
14421#14422,0.5,0.350877,0.16,0.315789,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,-1
1837#1841,0.857143,0.857143,0.7,0.714286,1,1,1,1,1,1,1,1,0.87619,0.780093,0.90625,0.8,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
7925#7926,0.214286,0,0.214286,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.8,0.333333343267,m,m,n,-1
719#718,0.285714,0,0.2,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.454545454545,0.263157904148,?,?,?,?,n,m,n,-1
15800#15787,1,1,1,1,1,1,1,1,1,1,1,1,0.075,0,0.0952381,0,?,?,?,?,?,?,?,?,0.0,0.0,m,m,n,+1
8260#8261,0.230952,0.0405084,0.194805,0.0594059,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,-1
10592#10593,0.208333,0,0.111111,0,0,0,0.133333,0,0,0,0,0,?,?,?,?,?,?,?,?,0.2,0.047619048506,?,?,?,?,n,m,m,-1
1421#1425,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
2526#2523,0.857143,0.857143,0.833333,0.833333,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,+1
78#73,0.444643,0.333333,0.148148,0.147059,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,+1
221372#563114,0.611111,0.5,0.416667,0.15,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,-1
8995#9008,0.436364,0.363636,0.216216,0.325581,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
1261#1258,0.452381,0.22028,0.470588,0.208333,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.909090909091,0.600000023842,?,?,?,?,n,m,n,+1
517#518,0.482143,0.4,0.238095,0.266667,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,+1
12419#12420,0.25,0.0833333,0.307692,0.08,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.6,0.375,0.5,0.29411765933,0.0,0.0,n,n,n,-1
1258#1266,0.238095,0,0.272727,0,?,?,?,?,?,?,?,?,?,?,?,?,0.316667,0.162338,0.313725,0.109589,1.0,1.0,?,?,?,?,s,m,n,+1
3680#3686,0.167857,0,0.125,0,1,1,1,1,0.8,0.333333,0.8,0.333333,0.23244,0.025,0.15,0.025641,?,?,?,?,?,?,?,?,0.5,0.285714298487,m,m,n,-1
3518#3528,0.366667,0.333333,0.307692,0.142857,1,1,1,1,1,1,1,1,0.219048,0,0.222222,0,?,?,?,?,?,?,?,?,0.666666666667,0.333333343267,m,m,n,-1
12483#12484,0.591209,0.461538,0.5,0.34,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,-1
993#1001,0.666667,0.666667,0.4,0.428571,?,?,?,?,?,?,?,?,?,?,?,?,0.657576,0.580556,0.42,0.358491,1.0,1.0,?,?,?,?,s,m,n,+1
12059#12060,1,1,1,1,1,1,1,1,1,1,1,1,0.404762,0.3,0.333333,0.205882,?,?,?,?,0.545454545455,0.333333343267,?,?,0.666666666667,0.333333343267,n,m,n,-1
1458#1464,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
8169#8177,0.3,0,0.277778,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,-1
2267#2279,0.1,0,0.133333,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.636363636364,0.263157904148,?,?,?,?,n,m,n,-1
9441#9442,0.625,0.5,0.615385,0.470588,0.125,0,0.125,0,?,?,?,?,0.4875,0.304286,0.25,0.142857,?,?,?,?,?,?,?,?,?,?,m,m,n,-1
663478#721550,0.333333,0.0740741,0.333333,0.0714286,1,1,1,1,1,1,1,1,1,1,1,1,?,?,?,?,0.9,0.692307710648,?,?,?,?,n,m,n,+1
2457#2475,1,1,1,1,0.666667,0.666667,0.5,0.545455,1,1,1,1,1,1,1,1,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,+1
391#17,0.8,0.8,0.8125,0.8125,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
10508#10509,0.108165,0.020202,0.0869565,0.0217391,0,0,0.111111,0,0,0,0,0,0.263736,0.097619,0.217391,0.0789474,?,?,?,?,0.2,0.0526315793395,?,?,?,?,n,m,n,-1
6595#6592,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,+1
11105#11106,0.246032,0.077381,0.214286,0.0526316,0.111111,0,0.142857,0,0.25,0,0.25,0,0.0833333,0,0.157895,0,?,?,?,?,0.4,0.0500000007451,?,?,?,?,n,m,n,-1
4029#4031,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,-1
9739#9740,0.225,0.0805556,0.2,0.0625,1,1,1,1,1,1,1,1,0.260823,0.107143,0.44,0.171429,?,?,?,?,0.6,0.375,?,?,?,?,n,m,n,-1
1402#1404,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
909#919,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
2820#2832,1,1,0.978723,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,+1
2191#2205,0.6,0.5,0.692308,0.470588,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.818181818182,0.600000023842,?,?,1.0,1.0,n,m,s,+1
8857#8851,0.833333,0.833333,0.428571,0.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
1491#1492,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,+1
765#767,0.666667,0.666667,0.727273,0.75,0.666667,0.666667,0.454545,0.5,?,?,?,?,1,1,1,1,?,?,?,?,0.272727272727,0.10000000149,?,?,1.0,1.0,n,m,s,+1
12967#12968,0.12,0,0.272727,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.666666666667,0.368421047926,?,?,1.0,1.0,n,m,s,-1
145#154,0.453061,0.31746,0.36,0.222222,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
15917#15948,0.300685,0.142857,0.174603,0.0789474,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.0,0.0,m,m,n,-1
1112#1113,0.8,0.8,0.571429,0.6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,+1
1106#1116,0.5,0.5,0.357143,0.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,+1
976#983,0.816327,0.71746,0.944444,0.761905,0.571429,0.363636,0.571429,0.363636,1,1,1,1,1,1,1,1,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,+1
1249#1276,0.857143,0.857143,0.392857,0.689655,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
702#703,0.545455,0.545455,0.377778,0.409091,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
2512#2510,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,?,?,s,m,n,+1
15423#15470,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.7,0.375,?,?,?,?,n,m,n,-1
6905#6906,0.8,0.8,0.823529,0.833333,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,+1
886#891,0.666667,0.666667,0.6,0.64,1,1,1,1,?,?,?,?,0.75,0.75,0.463415,0.571429,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
15881#15882,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.0,0.0,m,m,n,-1
12677#12678,0.35,0.159864,0.16,0.15,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.5,0.222222223878,?,?,?,?,n,m,n,-1
753#752,0.15,0.0196078,0.147059,0.0227273,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.454545454545,0.263157904148,0.454545454545,0.0909090936184,?,?,n,n,n,-1
14740#14741,0.116477,0,0.136364,0,1,1,1,1,1,1,1,1,0.75,0.75,0.944444,0.809524,?,?,?,?,0.6,0.375,?,?,0.0,0.0,n,m,n,-1
2784#2788,0.791667,0.78125,0.833333,0.78125,0.485714,0.133333,0.466667,0.103448,1,1,1,1,0.923077,0.923077,0.914286,0.911765,?,?,?,?,1.0,1.0,?,?,?,?,s,m,n,+1
2196#2215,0.666667,0.666667,0.416667,0.647059,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,?,?,1.0,1.0,s,m,s,+1
2783#2793,0.48,0.4,0.4,0.233333,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,n,+1
460#462,0.752381,0.666667,0.366667,0.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
12016#12017,0.155556,0,0.25,0,1,1,1,1,1,1,1,1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,m,m,m,-1
1940#1957,0.632653,0.571429,0.692308,0.411765,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.0,1.0,m,m,s,+1
